20 1234 - 44,B2F1D1

20 1234 - 45,9122B7

20 1234 - 46,182F99

20 1234 - 47,74062A

21 16 - 48,1F5EB4

21 16 - 49,1DAB78

21 16 - 50,030C9C

21 16 - 51,588397

43 123 - 84,36942C

43 123 - 85,9DDF8E

43 x - 86,E60273
43 123 - 89,2F5A6C

45 m - 90,E16781

45 m - 91,D3F654

45 m - 92,376D68

45 m - 93,DBAF72

129 5 - 149,8B56CF
129 x - 150,3C081C
17 123 - 20,616FA1

24 6 - 27,C86163

51 123 - 40,7B3D41

62 123 - 53,71B8FC

62 x - 54,2CFC63
141 123 - 144,EC4C5B

141 123 - 145,BC5764

243 123 - 248,499E1B

243 123 - 249,8F2384

288 123 - 297,A478D5

293 123 - 306,58F39D

296 123 - 313,E38FBF

298 123 - 319,A96611

310 x - 338,738802
310 x - 339,89D8C4
310 x - 337,A85CA1
318 x - 348,11867D
318 x - 349,2D179C
